f1,f2,f3,f4,f5,mpu1,mpu2,mpu3
749,803,658,591,547,14440,6252,5712
749,803,600,591,547,15724,4864,6120
749,803,658,591,547,12124,6688,7432
697,729,658,591,547,12120,6232,12552
697,729,598,591,547,12412,6424,9256
697,787,598,591,547,13516,5116,9920
697,736,598,591,547,12424,7848,7792
697,793,661,591,547,13464,5440,8952
697,732,600,591,547,14700,4036,7336
697,732,654,591,547,13672,4580,8112
