f1,f2,f3,f4,f5,mpu1,mpu2,mpu3
755,772,743,529,556,5712,6900,3120
660,709,743,529,556,16584,13308,3860
737,799,743,529,556,15220,6568,4828
737,723,743,529,556,11964,7796,4552
682,723,663,529,556,9508,12588,2392
682,723,751,529,556,11848,8604,3632
737,723,751,529,556,12540,10868,3852
628,723,689,529,556,10808,11180,4856
738,779,689,529,556,13196,9240,3660
644,684,689,529,556,10588,11448,4408
