f1,f2,f3,f4,f5,mpu1,mpu2,mpu3
754,796,639,639,527,14124,4872,7812
703,796,639,639,527,13192,4400,9312
703,796,639,639,581,14828,5124,8024
703,745,639,639,581,13804,5796,8100
703,745,639,572,581,13168,5628,8620
1023,745,639,572,581,14976,5360,7984
695,745,639,572,581,13016,5824,8348
1023,745,639,572,581,13424,6844,7680
685,745,639,572,530,10936,5448,9004
1023,745,639,572,530,14424,4904,9280
