f1,f2,f3,f4,f5,mpu1,mpu2,mpu3
620,671,639,566,551,-256,3856,14464
735,762,751,566,551,-632,4232,17420
608,649,616,566,551,-1824,11048,14200
745,753,749,566,551,496,11760,15148
648,662,627,566,551,5104,10324,11556
745,756,767,566,551,6524,8892,9092
621,655,618,566,551,-688,12340,12116
763,783,768,566,551,3584,11068,11076
623,650,625,566,551,2372,11196,12248
738,761,751,566,551,5680,12868,11504
