f1,f2,f3,f4,f5,mpu1,mpu2,mpu3
589,629,614,549,636,12636,9876,-4060
589,629,614,606,636,13240,7820,-7132
589,629,614,531,538,13464,8616,4984
589,629,614,531,659,14152,8252,3560
589,629,614,591,659,14296,8372,3664
589,629,614,591,592,14248,8300,3548
589,629,614,591,654,14032,8048,3024
589,629,614,591,576,14532,7880,2300
589,629,614,591,656,14452,9120,756
589,629,614,591,559,14732,7720,1756
