f1,f2,f3,f4,f5,mpu1,mpu2,mpu3
656,684,649,529,563,14112,7880,-7576
719,750,717,529,627,10732,7188,-10496
719,750,717,529,556,10204,4524,-10728
650,679,650,529,556,14288,6688,-5588
720,760,722,529,556,12864,6060,-10064
720,700,722,529,556,11188,5936,-13540
720,757,722,529,556,8440,5700,-13464
619,662,654,529,556,12832,5020,-6968
715,748,716,529,556,9156,5136,-13580
591,652,635,529,556,12752,4800,-10788
