f1,f2,f3,f4,f5,mpu1,mpu2,mpu3
580,621,584,511,530,12308,1724,6528
580,621,650,511,530,13576,8128,-3404
580,621,595,511,530,8980,12816,8312
1023,621,595,511,530,14092,7760,3476
587,621,595,511,530,6952,8088,8480
587,621,595,566,530,13900,12980,-1728
1023,621,595,566,530,10932,6064,5596
596,621,595,566,530,13788,340,5536
1023,621,595,566,530,10520,5724,3476
607,621,595,566,530,17376,1760,2260
